date,alphabet
2004-01-04,79
2004-01-11,85
2004-01-18,77
2004-01-25,84
2004-02-01,84
2004-02-08,90
2004-02-15,70
2004-02-22,97
2004-02-29,88
2004-03-07,89
2004-03-14,67
2004-03-21,75
2004-03-28,77
2004-04-04,63
2004-04-11,84
2004-04-18,73
2004-04-25,87
2004-05-02,77
2004-05-09,73
2004-05-16,79
2004-05-23,68
2004-05-30,67
2004-06-06,58
2004-06-13,56
2004-06-20,64
2004-06-27,52
2004-07-04,59
2004-07-11,64
2004-07-18,59
2004-07-25,69
2004-08-01,60
2004-08-08,81
2004-08-15,78
2004-08-22,74
2004-08-29,87
2004-09-05,100
2004-09-12,94
2004-09-19,82
2004-09-26,92
2004-10-03,94
2004-10-10,74
2004-10-17,75
2004-10-24,71
2004-10-31,78
2004-11-07,72
2004-11-14,83
2004-11-21,67
2004-11-28,80
2004-12-05,71
2004-12-12,70
2004-12-19,68
2004-12-26,59
2005-01-02,61
2005-01-09,61
2005-01-16,60
2005-01-23,62
2005-01-30,64
2005-02-06,67
2005-02-13,51
2005-02-20,58
2005-02-27,72
2005-03-06,62
2005-03-13,57
2005-03-20,62
2005-03-27,45
2005-04-03,56
2005-04-10,52
2005-04-17,56
2005-04-24,65
2005-05-01,62
2005-05-08,55
2005-05-15,53
2005-05-22,46
2005-05-29,50
2005-06-05,58
2005-06-12,39
2005-06-19,36
2005-06-26,43
2005-07-03,40
2005-07-10,44
2005-07-17,45
2005-07-24,37
2005-07-31,46
2005-08-07,44
2005-08-14,52
2005-08-21,56
2005-08-28,67
2005-09-04,74
2005-09-11,59
2005-09-18,78
2005-09-25,77
2005-10-02,71
2005-10-09,69
2005-10-16,81
2005-10-23,100
2005-10-30,75
2005-11-06,55
2005-11-13,73
2005-11-20,65
2005-11-27,76
2005-12-04,59
2005-12-11,63
2005-12-18,44
2005-12-25,46
2006-01-01,74
2006-01-08,73
2006-01-15,70
2006-01-22,78
2006-01-29,77
2006-02-05,76
2006-02-12,76
2006-02-19,70
2006-02-26,71
2006-03-05,63
2006-03-12,65
2006-03-19,76
2006-03-26,80
2006-04-02,76
2006-04-09,77
2006-04-16,69
2006-04-23,63
2006-04-30,72
2006-05-07,69
2006-05-14,61
2006-05-21,56
2006-05-28,54
2006-06-04,59
2006-06-11,60
2006-06-18,50
2006-06-25,55
2006-07-02,54
2006-07-09,48
2006-07-16,57
2006-07-23,54
2006-07-30,45
2006-08-06,62
2006-08-13,55
2006-08-20,65
2006-08-27,75
2006-09-03,81
2006-09-10,82
2006-09-17,100
2006-09-24,79
2006-10-01,73
2006-10-08,75
2006-10-15,68
2006-10-22,73
2006-10-29,72
2006-11-05,59
2006-11-12,63
2006-11-19,54
2006-11-26,63
2006-12-03,72
2006-12-10,64
2006-12-17,51
2006-12-24,50
2006-12-31,49
2007-01-07,80
2007-01-14,79
2007-01-21,85
2007-01-28,84
2007-02-04,78
2007-02-11,78
2007-02-18,82
2007-02-25,82
2007-03-04,78
2007-03-11,79
2007-03-18,68
2007-03-25,72
2007-04-01,77
2007-04-08,70
2007-04-15,75
2007-04-22,72
2007-04-29,75
2007-05-06,73
2007-05-13,77
2007-05-20,70
2007-05-27,72
2007-06-03,71
2007-06-10,65
2007-06-17,64
2007-06-24,64
2007-07-01,57
2007-07-08,58
2007-07-15,60
2007-07-22,64
2007-07-29,59
2007-08-05,64
2007-08-12,68
2007-08-19,78
2007-08-26,88
2007-09-02,87
2007-09-09,100
2007-09-16,89
2007-09-23,94
2007-09-30,90
2007-10-07,88
2007-10-14,87
2007-10-21,82
2007-10-28,78
2007-11-04,83
2007-11-11,73
2007-11-18,66
2007-11-25,79
2007-12-02,81
2007-12-09,78
2007-12-16,68
2007-12-23,56
2007-12-30,62
2008-01-06,79
2008-01-13,80
2008-01-20,77
2008-01-27,82
2008-02-03,83
2008-02-10,75
2008-02-17,72
2008-02-24,84
2008-03-02,78
2008-03-09,82
2008-03-16,72
2008-03-23,69
2008-03-30,80
2008-04-06,72
2008-04-13,78
2008-04-20,77
2008-04-27,78
2008-05-04,74
2008-05-11,69
2008-05-18,61
2008-05-25,62
2008-06-01,62
2008-06-08,60
2008-06-15,60
2008-06-22,56
2008-06-29,58
2008-07-06,60
2008-07-13,61
2008-07-20,63
2008-07-27,59
2008-08-03,58
2008-08-10,71
2008-08-17,72
2008-08-24,82
2008-08-31,88
2008-09-07,100
2008-09-14,94
2008-09-21,96
2008-09-28,96
2008-10-05,81
2008-10-12,85
2008-10-19,88
2008-10-26,83
2008-11-02,91
2008-11-09,97
2008-11-16,89
2008-11-23,74
2008-11-30,87
2008-12-07,77
2008-12-14,77
2008-12-21,75
2008-12-28,65
2009-01-04,92
2009-01-11,84
2009-01-18,88
2009-01-25,84
2009-02-01,86
2009-02-08,91
2009-02-15,86
2009-02-22,83
2009-03-01,75
2009-03-08,75
2009-03-15,82
2009-03-22,73
2009-03-29,85
2009-04-05,76
2009-04-12,73
2009-04-19,74
2009-04-26,81
2009-05-03,84
2009-05-10,79
2009-05-17,71
2009-05-24,76
2009-05-31,75
2009-06-07,67
2009-06-14,66
2009-06-21,61
2009-06-28,63
2009-07-05,72
2009-07-12,64
2009-07-19,66
2009-07-26,65
2009-08-02,65
2009-08-09,65
2009-08-16,83
2009-08-23,86
2009-08-30,96
2009-09-06,97
2009-09-13,100
2009-09-20,95
2009-09-27,89
2009-10-04,86
2009-10-11,89
2009-10-18,86
2009-10-25,84
2009-11-01,85
2009-11-08,88
2009-11-15,82
2009-11-22,74
2009-11-29,91
2009-12-06,90
2009-12-13,77
2009-12-20,70
2009-12-27,65
2010-01-03,92
2010-01-10,90
2010-01-17,100
2010-01-24,98
2010-01-31,93
2010-02-07,85
2010-02-14,85
2010-02-21,92
2010-02-28,94
2010-03-07,85
2010-03-14,87
2010-03-21,86
2010-03-28,85
2010-04-04,85
2010-04-11,77
2010-04-18,91
2010-04-25,78
2010-05-02,76
2010-05-09,82
2010-05-16,84
2010-05-23,83
2010-05-30,71
2010-06-06,73
2010-06-13,71
2010-06-20,65
2010-06-27,61
2010-07-04,59
2010-07-11,60
2010-07-18,57
2010-07-25,58
2010-08-01,60
2010-08-08,66
2010-08-15,73
2010-08-22,81
2010-08-29,78
2010-09-05,83
2010-09-12,86
2010-09-19,84
2010-09-26,84
2010-10-03,82
2010-10-10,83
2010-10-17,79
2010-10-24,76
2010-10-31,78
2010-11-07,74
2010-11-14,76
2010-11-21,67
2010-11-28,79
2010-12-05,81
2010-12-12,69
2010-12-19,63
2010-12-26,60
2011-01-02,77
2011-01-09,80
2011-01-16,82
2011-01-23,86
2011-01-30,86
2011-02-06,84
2011-02-13,87
2011-02-20,79
2011-02-27,79
2011-03-06,77
2011-03-13,75
2011-03-20,77
2011-03-27,78
2011-04-03,76
2011-04-10,76
2011-04-17,70
2011-04-24,69
2011-05-01,76
2011-05-08,74
2011-05-15,72
2011-05-22,74
2011-05-29,67
2011-06-05,68
2011-06-12,64
2011-06-19,69
2011-06-26,62
2011-07-03,62
2011-07-10,68
2011-07-17,65
2011-07-24,68
2011-07-31,62
2011-08-07,74
2011-08-14,77
2011-08-21,86
2011-08-28,93
2011-09-04,92
2011-09-11,100
2011-09-18,92
2011-09-25,96
2011-10-02,94
2011-10-09,93
2011-10-16,94
2011-10-23,97
2011-10-30,94
2011-11-06,87
2011-11-13,91
2011-11-20,76
2011-11-27,88
2011-12-04,89
2011-12-11,81
2011-12-18,74
2011-12-25,62
2012-01-01,77
2012-01-08,80
2012-01-15,90
2012-01-22,83
2012-01-29,94
2012-02-05,85
2012-02-12,80
2012-02-19,82
2012-02-26,86
2012-03-04,79
2012-03-11,81
2012-03-18,85
2012-03-25,79
2012-04-01,74
2012-04-08,75
2012-04-15,74
2012-04-22,79
2012-04-29,78
2012-05-06,75
2012-05-13,77
2012-05-20,76
2012-05-27,75
2012-06-03,67
2012-06-10,68
2012-06-17,72
2012-06-24,66
2012-07-01,61
2012-07-08,67
2012-07-15,68
2012-07-22,66
2012-07-29,66
2012-08-05,67
2012-08-12,78
2012-08-19,86
2012-08-26,94
2012-09-02,92
2012-09-09,99
2012-09-16,91
2012-09-23,100
2012-09-30,95
2012-10-07,85
2012-10-14,87
2012-10-21,77
2012-10-28,79
2012-11-04,82
2012-11-11,83
2012-11-18,73
2012-11-25,84
2012-12-02,85
2012-12-09,79
2012-12-16,73
2012-12-23,60
2012-12-30,70
2013-01-06,77
2013-01-13,79
2013-01-20,78
2013-01-27,80
2013-02-03,81
2013-02-10,81
2013-02-17,82
2013-02-24,78
2013-03-03,81
2013-03-10,76
2013-03-17,76
2013-03-24,73
2013-03-31,73
2013-04-07,79
2013-04-14,74
2013-04-21,75
2013-04-28,76
2013-05-05,74
2013-05-12,72
2013-05-19,72
2013-05-26,69
2013-06-02,77
2013-06-09,62
2013-06-16,63
2013-06-23,64
2013-06-30,60
2013-07-07,62
2013-07-14,66
2013-07-21,64
2013-07-28,65
2013-08-04,69
2013-08-11,73
2013-08-18,80
2013-08-25,93
2013-09-01,93
2013-09-08,100
2013-09-15,91
2013-09-22,93
2013-09-29,90
2013-10-06,89
2013-10-13,83
2013-10-20,84
2013-10-27,79
2013-11-03,86
2013-11-10,83
2013-11-17,85
2013-11-24,68
2013-12-01,80
2013-12-08,77
2013-12-15,76
2013-12-22,61
2013-12-29,61
2014-01-05,63
2014-01-12,67
2014-01-19,66
2014-01-26,66
2014-02-02,100
2014-02-09,72
2014-02-16,69
2014-02-23,69
2014-03-02,66
2014-03-09,65
2014-03-16,65
2014-03-23,62
2014-03-30,62
2014-04-06,62
2014-04-13,61
2014-04-20,61
2014-04-27,61
2014-05-04,63
2014-05-11,65
2014-05-18,61
2014-05-25,59
2014-06-01,56
2014-06-08,54
2014-06-15,52
2014-06-22,52
2014-06-29,47
2014-07-06,53
2014-07-13,54
2014-07-20,52
2014-07-27,55
2014-08-03,59
2014-08-10,59
2014-08-17,67
2014-08-24,76
2014-08-31,78
2014-09-07,83
2014-09-14,78
2014-09-21,76
2014-09-28,74
2014-10-05,71
2014-10-12,71
2014-10-19,71
2014-10-26,85
2014-11-02,76
2014-11-09,76
2014-11-16,70
2014-11-23,59
2014-11-30,72
2014-12-07,69
2014-12-14,66
2014-12-21,56
2014-12-28,57
2015-01-04,48
2015-01-11,50
2015-01-18,51
2015-01-25,49
2015-02-01,49
2015-02-08,48
2015-02-15,46
2015-02-22,49
2015-03-01,47
2015-03-08,47
2015-03-15,46
2015-03-22,45
2015-03-29,42
2015-04-05,43
2015-04-12,47
2015-04-19,46
2015-04-26,42
2015-05-03,44
2015-05-10,46
2015-05-17,43
2015-05-24,39
2015-05-31,41
2015-06-07,39
2015-06-14,38
2015-06-21,39
2015-06-28,38
2015-07-05,37
2015-07-12,37
2015-07-19,40
2015-07-26,36
2015-08-02,38
2015-08-09,100
2015-08-16,58
2015-08-23,63
2015-08-30,68
2015-09-06,60
2015-09-13,61
2015-09-20,59
2015-09-27,64
2015-10-04,67
2015-10-11,57
2015-10-18,60
2015-10-25,57
2015-11-01,58
2015-11-08,54
2015-11-15,53
2015-11-22,41
2015-11-29,51
2015-12-06,52
2015-12-13,48
2015-12-20,39
2015-12-27,37
2016-01-03,76
2016-01-10,75
2016-01-17,77
2016-01-24,82
2016-01-31,100
2016-02-07,83
2016-02-14,78
2016-02-21,84
2016-02-28,84
2016-03-06,77
2016-03-13,78
2016-03-20,74
2016-03-27,78
2016-04-03,80
2016-04-10,80
2016-04-17,79
2016-04-24,76
2016-05-01,73
2016-05-08,71
2016-05-15,74
2016-05-22,71
2016-05-29,66
2016-06-05,66
2016-06-12,61
2016-06-19,63
2016-06-26,64
2016-07-03,61
2016-07-10,64
2016-07-17,58
2016-07-24,66
2016-07-31,76
2016-08-07,66
2016-08-14,78
2016-08-21,89
2016-08-28,94
2016-09-04,87
2016-09-11,94
2016-09-18,89
2016-09-25,87
2016-10-02,85
2016-10-09,77
2016-10-16,80
2016-10-23,82
2016-10-30,77
2016-11-06,68
2016-11-13,77
2016-11-20,65
2016-11-27,78
2016-12-04,81
2016-12-11,75
2016-12-18,73
2016-12-25,61
2017-01-01,78
2017-01-08,80
2017-01-15,80
2017-01-22,88
2017-01-29,81
2017-02-05,81
2017-02-12,80
2017-02-19,84
2017-02-26,79
2017-03-05,74
2017-03-12,79
2017-03-19,80
2017-03-26,79
2017-04-02,78
2017-04-09,71
2017-04-16,76
2017-04-23,84
2017-04-30,81
2017-05-07,85
2017-05-14,79
2017-05-21,75
2017-05-28,78
2017-06-04,75
2017-06-11,71
2017-06-18,67
2017-06-25,62
2017-07-02,62
2017-07-09,65
2017-07-16,65
2017-07-23,71
2017-07-30,65
2017-08-06,72
2017-08-13,78
2017-08-20,86
2017-08-27,96
2017-09-03,91
2017-09-10,94
2017-09-17,97
2017-09-24,100
2017-10-01,93
2017-10-08,89
2017-10-15,94
2017-10-22,95
2017-10-29,87
2017-11-05,88
2017-11-12,88
2017-11-19,74
2017-11-26,86
2017-12-03,81
2017-12-10,80
2017-12-17,78
2017-12-24,65
2017-12-31,74
2018-01-07,77
2018-01-14,81
2018-01-21,86
2018-01-28,93
2018-02-04,94
2018-02-11,88
2018-02-18,84
2018-02-25,88
2018-03-04,84
2018-03-11,78
2018-03-18,83
2018-03-25,76
2018-04-01,78
2018-04-08,82
2018-04-15,80
2018-04-22,85
2018-04-29,78
2018-05-06,78
2018-05-13,76
2018-05-20,75
2018-05-27,72
2018-06-03,67
2018-06-10,71
2018-06-17,69
2018-06-24,66
2018-07-01,62
2018-07-08,67
2018-07-15,63
2018-07-22,70
2018-07-29,71
2018-08-05,70
2018-08-12,77
2018-08-19,89
2018-08-26,100
2018-09-02,90
2018-09-09,94
2018-09-16,95
2018-09-23,91
2018-09-30,92
2018-10-07,91
2018-10-14,86
2018-10-21,89
2018-10-28,82
2018-11-04,79
2018-11-11,80
2018-11-18,67
2018-11-25,80
2018-12-02,78
2018-12-09,81
2018-12-16,79
2018-12-23,61
2018-12-30,70
2019-01-06,80
2019-01-13,77
2019-01-20,81
2019-01-27,84
2019-02-03,88
2019-02-10,83
2019-02-17,78
2019-02-24,82
2019-03-03,79
2019-03-10,81
2019-03-17,78
2019-03-24,78
2019-03-31,77
2019-04-07,78
2019-04-14,72
2019-04-21,77
2019-04-28,80
2019-05-05,79
2019-05-12,78
2019-05-19,75
2019-05-26,69
2019-06-02,81
2019-06-09,67
2019-06-16,66
2019-06-23,63
2019-06-30,59
2019-07-07,64
2019-07-14,68
2019-07-21,69
2019-07-28,67
2019-08-04,67
2019-08-11,78
2019-08-18,89
2019-08-25,95
2019-09-01,91
2019-09-08,100
2019-09-15,93
2019-09-22,93
2019-09-29,93
2019-10-06,90
2019-10-13,92
2019-10-20,93
2019-10-27,96
2019-11-03,97
2019-11-10,90
2019-11-17,90
2019-11-24,74
2019-12-01,90
2019-12-08,85
2019-12-15,81
2019-12-22,65
2019-12-29,68
2020-01-05,62
2020-01-12,65
2020-01-19,63
2020-01-26,63
2020-02-02,65
2020-02-09,67
2020-02-16,62
2020-02-23,66
2020-03-01,62
2020-03-08,61
2020-03-15,60
2020-03-22,66
2020-03-29,66
2020-04-05,65
2020-04-12,65
2020-04-19,69
2020-04-26,68
2020-05-03,62
2020-05-10,61
2020-05-17,62
2020-05-24,62
2020-05-31,61
2020-06-07,57
2020-06-14,60
2020-06-21,55
2020-06-28,54
2020-07-05,55
2020-07-12,60
2020-07-19,59
2020-07-26,64
2020-08-02,58
2020-08-09,61
2020-08-16,70
2020-08-23,82
2020-08-30,91
2020-09-06,89
2020-09-13,100
2020-09-20,94
2020-09-27,75
2020-10-04,84
2020-10-11,65
2020-10-18,70
2020-10-25,85
2020-11-01,53
2020-11-08,68
2020-11-15,66
2020-11-22,50
2020-11-29,58
2020-12-06,61
