date,amazon
2004-01-04,53
2004-01-11,51
2004-01-18,54
2004-01-25,51
2004-02-01,50
2004-02-08,48
2004-02-15,50
2004-02-22,49
2004-02-29,47
2004-03-07,51
2004-03-14,51
2004-03-21,52
2004-03-28,54
2004-04-04,49
2004-04-11,45
2004-04-18,47
2004-04-25,48
2004-05-02,51
2004-05-09,49
2004-05-16,52
2004-05-23,53
2004-05-30,54
2004-06-06,52
2004-06-13,55
2004-06-20,54
2004-06-27,55
2004-07-04,54
2004-07-11,55
2004-07-18,53
2004-07-25,56
2004-08-01,58
2004-08-08,56
2004-08-15,58
2004-08-22,60
2004-08-29,56
2004-09-05,60
2004-09-12,57
2004-09-19,57
2004-09-26,57
2004-10-03,52
2004-10-10,56
2004-10-17,55
2004-10-24,61
2004-10-31,51
2004-11-07,66
2004-11-14,73
2004-11-21,76
2004-11-28,90
2004-12-05,100
2004-12-12,97
2004-12-19,89
2004-12-26,73
2005-01-02,64
2005-01-09,60
2005-01-16,58
2005-01-23,57
2005-01-30,54
2005-02-06,54
2005-02-13,54
2005-02-20,51
2005-02-27,51
2005-03-06,53
2005-03-13,55
2005-03-20,54
2005-03-27,53
2005-04-03,53
2005-04-10,53
2005-04-17,52
2005-04-24,52
2005-05-01,55
2005-05-08,53
2005-05-15,54
2005-05-22,52
2005-05-29,58
2005-06-05,57
2005-06-12,56
2005-06-19,57
2005-06-26,56
2005-07-03,61
2005-07-10,58
2005-07-17,60
2005-07-24,58
2005-07-31,58
2005-08-07,60
2005-08-14,63
2005-08-21,64
2005-08-28,59
2005-09-04,55
2005-09-11,57
2005-09-18,58
2005-09-25,59
2005-10-02,57
2005-10-09,60
2005-10-16,57
2005-10-23,58
2005-10-30,64
2005-11-06,64
2005-11-13,68
2005-11-20,80
2005-11-27,87
2005-12-04,91
2005-12-11,100
2005-12-18,91
2005-12-25,77
2006-01-01,64
2006-01-08,62
2006-01-15,64
2006-01-22,60
2006-01-29,61
2006-02-05,53
2006-02-12,53
2006-02-19,55
2006-02-26,58
2006-03-05,55
2006-03-12,55
2006-03-19,56
2006-03-26,52
2006-04-02,54
2006-04-09,52
2006-04-16,53
2006-04-23,53
2006-04-30,53
2006-05-07,51
2006-05-14,53
2006-05-21,57
2006-05-28,52
2006-06-04,60
2006-06-11,59
2006-06-18,59
2006-06-25,56
2006-07-02,61
2006-07-09,58
2006-07-16,58
2006-07-23,56
2006-07-30,59
2006-08-06,57
2006-08-13,60
2006-08-20,63
2006-08-27,63
2006-09-03,62
2006-09-10,61
2006-09-17,62
2006-09-24,61
2006-10-01,58
2006-10-08,59
2006-10-15,58
2006-10-22,58
2006-10-29,58
2006-11-05,61
2006-11-12,67
2006-11-19,87
2006-11-26,83
2006-12-03,88
2006-12-10,100
2006-12-17,83
2006-12-24,80
2006-12-31,69
2007-01-07,60
2007-01-14,62
2007-01-21,58
2007-01-28,57
2007-02-04,57
2007-02-11,54
2007-02-18,52
2007-02-25,52
2007-03-04,54
2007-03-11,50
2007-03-18,51
2007-03-25,52
2007-04-01,51
2007-04-08,50
2007-04-15,52
2007-04-22,52
2007-04-29,53
2007-05-06,55
2007-05-13,55
2007-05-20,57
2007-05-27,55
2007-06-03,56
2007-06-10,59
2007-06-17,58
2007-06-24,56
2007-07-01,58
2007-07-08,58
2007-07-15,59
2007-07-22,58
2007-07-29,59
2007-08-05,58
2007-08-12,59
2007-08-19,62
2007-08-26,61
2007-09-02,62
2007-09-09,60
2007-09-16,59
2007-09-23,60
2007-09-30,60
2007-10-07,57
2007-10-14,59
2007-10-21,58
2007-10-28,58
2007-11-04,65
2007-11-11,67
2007-11-18,90
2007-11-25,89
2007-12-02,91
2007-12-09,100
2007-12-16,93
2007-12-23,76
2007-12-30,70
2008-01-06,55
2008-01-13,54
2008-01-20,50
2008-01-27,50
2008-02-03,48
2008-02-10,49
2008-02-17,47
2008-02-24,47
2008-03-02,49
2008-03-09,48
2008-03-16,47
2008-03-23,48
2008-03-30,48
2008-04-06,48
2008-04-13,46
2008-04-20,47
2008-04-27,47
2008-05-04,49
2008-05-11,48
2008-05-18,50
2008-05-25,53
2008-06-01,59
2008-06-08,53
2008-06-15,51
2008-06-22,50
2008-06-29,50
2008-07-06,49
2008-07-13,52
2008-07-20,51
2008-07-27,50
2008-08-03,56
2008-08-10,54
2008-08-17,55
2008-08-24,62
2008-08-31,60
2008-09-07,57
2008-09-14,57
2008-09-21,57
2008-09-28,54
2008-10-05,53
2008-10-12,54
2008-10-19,57
2008-10-26,55
2008-11-02,57
2008-11-09,64
2008-11-16,70
2008-11-23,88
2008-11-30,99
2008-12-07,100
2008-12-14,100
2008-12-21,88
2008-12-28,84
2009-01-04,68
2009-01-11,64
2009-01-18,61
2009-01-25,61
2009-02-01,57
2009-02-08,57
2009-02-15,55
2009-02-22,55
2009-03-01,55
2009-03-08,53
2009-03-15,53
2009-03-22,54
2009-03-29,53
2009-04-05,52
2009-04-12,53
2009-04-19,53
2009-04-26,50
2009-05-03,53
2009-05-10,53
2009-05-17,53
2009-05-24,52
2009-05-31,52
2009-06-07,53
2009-06-14,56
2009-06-21,53
2009-06-28,54
2009-07-05,55
2009-07-12,54
2009-07-19,57
2009-07-26,55
2009-08-02,57
2009-08-09,56
2009-08-16,57
2009-08-23,60
2009-08-30,59
2009-09-06,57
2009-09-13,54
2009-09-20,55
2009-09-27,55
2009-10-04,55
2009-10-11,56
2009-10-18,57
2009-10-25,55
2009-11-01,57
2009-11-08,61
2009-11-15,68
2009-11-22,92
2009-11-29,95
2009-12-06,96
2009-12-13,100
2009-12-20,87
2009-12-27,80
2010-01-03,54
2010-01-10,50
2010-01-17,49
2010-01-24,51
2010-01-31,49
2010-02-07,48
2010-02-14,47
2010-02-21,46
2010-02-28,47
2010-03-07,48
2010-03-14,44
2010-03-21,44
2010-03-28,44
2010-04-04,44
2010-04-11,44
2010-04-18,46
2010-04-25,47
2010-05-02,48
2010-05-09,48
2010-05-16,48
2010-05-23,46
2010-05-30,48
2010-06-06,47
2010-06-13,47
2010-06-20,47
2010-06-27,49
2010-07-04,44
2010-07-11,45
2010-07-18,46
2010-07-25,47
2010-08-01,48
2010-08-08,48
2010-08-15,50
2010-08-22,53
2010-08-29,51
2010-09-05,55
2010-09-12,57
2010-09-19,55
2010-09-26,55
2010-10-03,55
2010-10-10,52
2010-10-17,55
2010-10-24,54
2010-10-31,57
2010-11-07,65
2010-11-14,68
2010-11-21,92
2010-11-28,98
2010-12-05,93
2010-12-12,100
2010-12-19,90
2010-12-26,88
2011-01-02,57
2011-01-09,55
2011-01-16,54
2011-01-23,53
2011-01-30,51
2011-02-06,51
2011-02-13,50
2011-02-20,51
2011-02-27,50
2011-03-06,48
2011-03-13,44
2011-03-20,51
2011-03-27,52
2011-04-03,48
2011-04-10,48
2011-04-17,48
2011-04-24,48
2011-05-01,49
2011-05-08,50
2011-05-15,51
2011-05-22,51
2011-05-29,52
2011-06-05,53
2011-06-12,54
2011-06-19,52
2011-06-26,53
2011-07-03,54
2011-07-10,53
2011-07-17,54
2011-07-24,56
2011-07-31,56
2011-08-07,57
2011-08-14,59
2011-08-21,61
2011-08-28,60
2011-09-04,59
2011-09-11,56
2011-09-18,57
2011-09-25,64
2011-10-02,57
2011-10-09,58
2011-10-16,58
2011-10-23,59
2011-10-30,59
2011-11-06,63
2011-11-13,69
2011-11-20,92
2011-11-27,96
2011-12-04,91
2011-12-11,100
2011-12-18,91
2011-12-25,94
2012-01-01,64
2012-01-08,61
2012-01-15,59
2012-01-22,55
2012-01-29,56
2012-02-05,54
2012-02-12,54
2012-02-19,56
2012-02-26,55
2012-03-04,55
2012-03-11,55
2012-03-18,55
2012-03-25,51
2012-04-01,51
2012-04-08,49
2012-04-15,50
2012-04-22,51
2012-04-29,52
2012-05-06,53
2012-05-13,52
2012-05-20,51
2012-05-27,52
2012-06-03,52
2012-06-10,54
2012-06-17,54
2012-06-24,53
2012-07-01,55
2012-07-08,55
2012-07-15,56
2012-07-22,56
2012-07-29,57
2012-08-05,56
2012-08-12,60
2012-08-19,62
2012-08-26,58
2012-09-02,61
2012-09-09,58
2012-09-16,57
2012-09-23,57
2012-09-30,57
2012-10-07,57
2012-10-14,59
2012-10-21,58
2012-10-28,55
2012-11-04,59
2012-11-11,68
2012-11-18,93
2012-11-25,100
2012-12-02,93
2012-12-09,93
2012-12-16,90
2012-12-23,92
2012-12-30,78
2013-01-06,66
2013-01-13,62
2013-01-20,61
2013-01-27,59
2013-02-03,59
2013-02-10,56
2013-02-17,58
2013-02-24,57
2013-03-03,58
2013-03-10,58
2013-03-17,58
2013-03-24,59
2013-03-31,56
2013-04-07,57
2013-04-14,53
2013-04-21,57
2013-04-28,57
2013-05-05,58
2013-05-12,58
2013-05-19,56
2013-05-26,58
2013-06-02,61
2013-06-09,61
2013-06-16,59
2013-06-23,59
2013-06-30,61
2013-07-07,61
2013-07-14,61
2013-07-21,61
2013-07-28,64
2013-08-04,65
2013-08-11,65
2013-08-18,68
2013-08-25,64
2013-09-01,64
2013-09-08,61
2013-09-15,60
2013-09-22,59
2013-09-29,58
2013-10-06,57
2013-10-13,57
2013-10-20,58
2013-10-27,58
2013-11-03,61
2013-11-10,66
2013-11-17,69
2013-11-24,90
2013-12-01,100
2013-12-08,93
2013-12-15,92
2013-12-22,89
2013-12-29,74
2014-01-05,68
2014-01-12,64
2014-01-19,65
2014-01-26,62
2014-02-02,58
2014-02-09,59
2014-02-16,60
2014-02-23,59
2014-03-02,59
2014-03-09,59
2014-03-16,58
2014-03-23,59
2014-03-30,59
2014-04-06,57
2014-04-13,58
2014-04-20,58
2014-04-27,58
2014-05-04,58
2014-05-11,58
2014-05-18,57
2014-05-25,58
2014-06-01,59
2014-06-08,61
2014-06-15,63
2014-06-22,60
2014-06-29,59
2014-07-06,61
2014-07-13,62
2014-07-20,63
2014-07-27,65
2014-08-03,66
2014-08-10,65
2014-08-17,66
2014-08-24,66
2014-08-31,66
2014-09-07,62
2014-09-14,63
2014-09-21,63
2014-09-28,63
2014-10-05,63
2014-10-12,64
2014-10-19,65
2014-10-26,63
2014-11-02,66
2014-11-09,70
2014-11-16,74
2014-11-23,95
2014-11-30,100
2014-12-07,93
2014-12-14,99
2014-12-21,90
2014-12-28,81
2015-01-04,63
2015-01-11,60
2015-01-18,59
2015-01-25,59
2015-02-01,57
2015-02-08,59
2015-02-15,58
2015-02-22,56
2015-03-01,56
2015-03-08,56
2015-03-15,54
2015-03-22,55
2015-03-29,57
2015-04-05,54
2015-04-12,55
2015-04-19,55
2015-04-26,54
2015-05-03,55
2015-05-10,54
2015-05-17,56
2015-05-24,57
2015-05-31,58
2015-06-07,59
2015-06-14,60
2015-06-21,60
2015-06-28,59
2015-07-05,64
2015-07-12,85
2015-07-19,65
2015-07-26,64
2015-08-02,64
2015-08-09,66
2015-08-16,64
2015-08-23,67
2015-08-30,66
2015-09-06,62
2015-09-13,60
2015-09-20,63
2015-09-27,62
2015-10-04,63
2015-10-11,63
2015-10-18,64
2015-10-25,62
2015-11-01,62
2015-11-08,68
2015-11-15,71
2015-11-22,95
2015-11-29,100
2015-12-06,89
2015-12-13,96
2015-12-20,90
2015-12-27,79
2016-01-03,65
2016-01-10,61
2016-01-17,62
2016-01-24,59
2016-01-31,59
2016-02-07,59
2016-02-14,59
2016-02-21,58
2016-02-28,58
2016-03-06,58
2016-03-13,57
2016-03-20,57
2016-03-27,59
2016-04-03,58
2016-04-10,58
2016-04-17,57
2016-04-24,58
2016-05-01,58
2016-05-08,57
2016-05-15,59
2016-05-22,58
2016-05-29,59
2016-06-05,59
2016-06-12,62
2016-06-19,62
2016-06-26,62
2016-07-03,63
2016-07-10,76
2016-07-17,62
2016-07-24,64
2016-07-31,64
2016-08-07,61
2016-08-14,62
2016-08-21,65
2016-08-28,65
2016-09-04,63
2016-09-11,62
2016-09-18,60
2016-09-25,59
2016-10-02,60
2016-10-09,59
2016-10-16,62
2016-10-23,63
2016-10-30,59
2016-11-06,59
2016-11-13,70
2016-11-20,94
2016-11-27,100
2016-12-04,90
2016-12-11,96
2016-12-18,92
2016-12-25,87
2017-01-01,67
2017-01-08,63
2017-01-15,61
2017-01-22,59
2017-01-29,58
2017-02-05,56
2017-02-12,54
2017-02-19,57
2017-02-26,58
2017-03-05,58
2017-03-12,56
2017-03-19,58
2017-03-26,58
2017-04-02,58
2017-04-09,56
2017-04-16,56
2017-04-23,60
2017-04-30,62
2017-05-07,61
2017-05-14,60
2017-05-21,60
2017-05-28,60
2017-06-04,60
2017-06-11,65
2017-06-18,62
2017-06-25,63
2017-07-02,63
2017-07-09,83
2017-07-16,65
2017-07-23,67
2017-07-30,69
2017-08-06,68
2017-08-13,68
2017-08-20,66
2017-08-27,66
2017-09-03,64
2017-09-10,62
2017-09-17,65
2017-09-24,65
2017-10-01,62
2017-10-08,65
2017-10-15,68
2017-10-22,67
2017-10-29,64
2017-11-05,68
2017-11-12,73
2017-11-19,94
2017-11-26,100
2017-12-03,90
2017-12-10,94
2017-12-17,94
2017-12-24,87
2017-12-31,75
2018-01-07,74
2018-01-14,74
2018-01-21,69
2018-01-28,70
2018-02-04,67
2018-02-11,65
2018-02-18,66
2018-02-25,69
2018-03-04,68
2018-03-11,66
2018-03-18,67
2018-03-25,68
2018-04-01,67
2018-04-08,63
2018-04-15,64
2018-04-22,66
2018-04-29,64
2018-05-06,65
2018-05-13,64
2018-05-20,64
2018-05-27,65
2018-06-03,67
2018-06-10,66
2018-06-17,65
2018-06-24,68
2018-07-01,68
2018-07-08,73
2018-07-15,99
2018-07-22,69
2018-07-29,71
2018-08-05,71
2018-08-12,72
2018-08-19,71
2018-08-26,70
2018-09-02,69
2018-09-09,66
2018-09-16,66
2018-09-23,65
2018-09-30,68
2018-10-07,68
2018-10-14,67
2018-10-21,67
2018-10-28,67
2018-11-04,70
2018-11-11,78
2018-11-18,94
2018-11-25,100
2018-12-02,90
2018-12-09,94
2018-12-16,97
2018-12-23,84
2018-12-30,76
2019-01-06,65
2019-01-13,61
2019-01-20,60
2019-01-27,60
2019-02-03,59
2019-02-10,60
2019-02-17,60
2019-02-24,60
2019-03-03,62
2019-03-10,59
2019-03-17,59
2019-03-24,59
2019-03-31,61
2019-04-07,58
2019-04-14,60
2019-04-21,60
2019-04-28,61
2019-05-05,60
2019-05-12,63
2019-05-19,63
2019-05-26,64
2019-06-02,67
2019-06-09,66
2019-06-16,66
2019-06-23,68
2019-06-30,65
2019-07-07,69
2019-07-14,93
2019-07-21,67
2019-07-28,66
2019-08-04,66
2019-08-11,68
2019-08-18,80
2019-08-25,71
2019-09-01,63
2019-09-08,65
2019-09-15,65
2019-09-22,65
2019-09-29,66
2019-10-06,66
2019-10-13,67
2019-10-20,69
2019-10-27,68
2019-11-03,71
2019-11-10,75
2019-11-17,79
2019-11-24,92
2019-12-01,100
2019-12-08,94
2019-12-15,95
2019-12-22,85
2019-12-29,73
2020-01-05,67
2020-01-12,66
2020-01-19,67
2020-01-26,66
2020-02-02,66
2020-02-09,66
2020-02-16,65
2020-02-23,67
2020-03-01,68
2020-03-08,72
2020-03-15,85
2020-03-22,81
2020-03-29,87
2020-04-05,84
2020-04-12,87
2020-04-19,87
2020-04-26,90
2020-05-03,88
2020-05-10,85
2020-05-17,85
2020-05-24,81
2020-05-31,77
2020-06-07,79
2020-06-14,80
2020-06-21,78
2020-06-28,78
2020-07-05,80
2020-07-12,79
2020-07-19,78
2020-07-26,77
2020-08-02,76
2020-08-09,77
2020-08-16,75
2020-08-23,72
2020-08-30,73
2020-09-06,70
2020-09-13,71
2020-09-20,71
2020-09-27,70
2020-10-04,70
2020-10-11,90
2020-10-18,75
2020-10-25,74
2020-11-01,60
2020-11-08,77
2020-11-15,82
2020-11-22,95
2020-11-29,100
2020-12-06,97
