date,buy
2004-01-04,67
2004-01-11,66
2004-01-18,64
2004-01-25,63
2004-02-01,59
2004-02-08,64
2004-02-15,60
2004-02-22,60
2004-02-29,60
2004-03-07,59
2004-03-14,59
2004-03-21,65
2004-03-28,62
2004-04-04,60
2004-04-11,56
2004-04-18,62
2004-04-25,62
2004-05-02,62
2004-05-09,61
2004-05-16,59
2004-05-23,67
2004-05-30,66
2004-06-06,67
2004-06-13,72
2004-06-20,70
2004-06-27,68
2004-07-04,69
2004-07-11,68
2004-07-18,65
2004-07-25,66
2004-08-01,67
2004-08-08,67
2004-08-15,72
2004-08-22,70
2004-08-29,64
2004-09-05,62
2004-09-12,62
2004-09-19,66
2004-09-26,60
2004-10-03,61
2004-10-10,60
2004-10-17,62
2004-10-24,61
2004-10-31,59
2004-11-07,69
2004-11-14,77
2004-11-21,100
2004-11-28,84
2004-12-05,82
2004-12-12,92
2004-12-19,96
2004-12-26,85
2005-01-02,64
2005-01-09,64
2005-01-16,62
2005-01-23,59
2005-01-30,59
2005-02-06,57
2005-02-13,56
2005-02-20,56
2005-02-27,55
2005-03-06,56
2005-03-13,54
2005-03-20,57
2005-03-27,58
2005-04-03,58
2005-04-10,54
2005-04-17,55
2005-04-24,56
2005-05-01,56
2005-05-08,55
2005-05-15,56
2005-05-22,60
2005-05-29,61
2005-06-05,59
2005-06-12,64
2005-06-19,61
2005-06-26,60
2005-07-03,63
2005-07-10,60
2005-07-17,63
2005-07-24,62
2005-07-31,64
2005-08-07,60
2005-08-14,62
2005-08-21,61
2005-08-28,58
2005-09-04,60
2005-09-11,60
2005-09-18,55
2005-09-25,56
2005-10-02,57
2005-10-09,58
2005-10-16,57
2005-10-23,59
2005-10-30,56
2005-11-06,62
2005-11-13,67
2005-11-20,100
2005-11-27,79
2005-12-04,77
2005-12-11,86
2005-12-18,95
2005-12-25,88
2006-01-01,63
2006-01-08,58
2006-01-15,56
2006-01-22,54
2006-01-29,55
2006-02-05,54
2006-02-12,52
2006-02-19,55
2006-02-26,54
2006-03-05,51
2006-03-12,52
2006-03-19,53
2006-03-26,51
2006-04-02,51
2006-04-09,50
2006-04-16,52
2006-04-23,48
2006-04-30,52
2006-05-07,51
2006-05-14,51
2006-05-21,53
2006-05-28,54
2006-06-04,54
2006-06-11,57
2006-06-18,54
2006-06-25,55
2006-07-02,58
2006-07-09,53
2006-07-16,55
2006-07-23,57
2006-07-30,59
2006-08-06,59
2006-08-13,59
2006-08-20,57
2006-08-27,59
2006-09-03,56
2006-09-10,53
2006-09-17,54
2006-09-24,54
2006-10-01,55
2006-10-08,55
2006-10-15,55
2006-10-22,55
2006-10-29,54
2006-11-05,58
2006-11-12,70
2006-11-19,100
2006-11-26,77
2006-12-03,80
2006-12-10,82
2006-12-17,94
2006-12-24,87
2006-12-31,67
2007-01-07,57
2007-01-14,57
2007-01-21,53
2007-01-28,55
2007-02-04,52
2007-02-11,52
2007-02-18,54
2007-02-25,51
2007-03-04,51
2007-03-11,50
2007-03-18,50
2007-03-25,51
2007-04-01,52
2007-04-08,53
2007-04-15,51
2007-04-22,52
2007-04-29,53
2007-05-06,54
2007-05-13,55
2007-05-20,56
2007-05-27,57
2007-06-03,58
2007-06-10,61
2007-06-17,58
2007-06-24,58
2007-07-01,62
2007-07-08,59
2007-07-15,59
2007-07-22,56
2007-07-29,58
2007-08-05,59
2007-08-12,60
2007-08-19,58
2007-08-26,57
2007-09-02,59
2007-09-09,54
2007-09-16,56
2007-09-23,55
2007-09-30,55
2007-10-07,54
2007-10-14,55
2007-10-21,54
2007-10-28,55
2007-11-04,60
2007-11-11,64
2007-11-18,100
2007-11-25,78
2007-12-02,77
2007-12-09,83
2007-12-16,88
2007-12-23,94
2007-12-30,71
2008-01-06,54
2008-01-13,52
2008-01-20,53
2008-01-27,51
2008-02-03,52
2008-02-10,52
2008-02-17,51
2008-02-24,50
2008-03-02,48
2008-03-09,50
2008-03-16,51
2008-03-23,50
2008-03-30,48
2008-04-06,47
2008-04-13,48
2008-04-20,48
2008-04-27,50
2008-05-04,49
2008-05-11,50
2008-05-18,53
2008-05-25,56
2008-06-01,54
2008-06-08,58
2008-06-15,55
2008-06-22,55
2008-06-29,58
2008-07-06,57
2008-07-13,57
2008-07-20,54
2008-07-27,55
2008-08-03,55
2008-08-10,56
2008-08-17,53
2008-08-24,55
2008-08-31,54
2008-09-07,52
2008-09-14,55
2008-09-21,53
2008-09-28,52
2008-10-05,52
2008-10-12,53
2008-10-19,52
2008-10-26,53
2008-11-02,54
2008-11-09,62
2008-11-16,64
2008-11-23,99
2008-11-30,76
2008-12-07,74
2008-12-14,82
2008-12-21,100
2008-12-28,79
2009-01-04,59
2009-01-11,56
2009-01-18,56
2009-01-25,54
2009-02-01,53
2009-02-08,54
2009-02-15,54
2009-02-22,52
2009-03-01,52
2009-03-08,52
2009-03-15,51
2009-03-22,51
2009-03-29,49
2009-04-05,50
2009-04-12,49
2009-04-19,48
2009-04-26,48
2009-05-03,50
2009-05-10,50
2009-05-17,50
2009-05-24,52
2009-05-31,53
2009-06-07,55
2009-06-14,57
2009-06-21,55
2009-06-28,56
2009-07-05,54
2009-07-12,54
2009-07-19,54
2009-07-26,55
2009-08-02,57
2009-08-09,58
2009-08-16,55
2009-08-23,55
2009-08-30,54
2009-09-06,55
2009-09-13,52
2009-09-20,52
2009-09-27,51
2009-10-04,53
2009-10-11,51
2009-10-18,53
2009-10-25,52
2009-11-01,54
2009-11-08,59
2009-11-15,64
2009-11-22,100
2009-11-29,73
2009-12-06,71
2009-12-13,77
2009-12-20,90
2009-12-27,76
2010-01-03,60
2010-01-10,57
2010-01-17,55
2010-01-24,56
2010-01-31,55
2010-02-07,56
2010-02-14,55
2010-02-21,54
2010-02-28,53
2010-03-07,53
2010-03-14,53
2010-03-21,51
2010-03-28,55
2010-04-04,52
2010-04-11,50
2010-04-18,52
2010-04-25,53
2010-05-02,52
2010-05-09,50
2010-05-16,54
2010-05-23,54
2010-05-30,56
2010-06-06,55
2010-06-13,58
2010-06-20,56
2010-06-27,59
2010-07-04,54
2010-07-11,55
2010-07-18,56
2010-07-25,56
2010-08-01,57
2010-08-08,54
2010-08-15,57
2010-08-22,55
2010-08-29,52
2010-09-05,56
2010-09-12,55
2010-09-19,55
2010-09-26,53
2010-10-03,54
2010-10-10,51
2010-10-17,53
2010-10-24,54
2010-10-31,53
2010-11-07,60
2010-11-14,64
2010-11-21,100
2010-11-28,76
2010-12-05,74
2010-12-12,78
2010-12-19,89
2010-12-26,81
2011-01-02,52
2011-01-09,48
2011-01-16,49
2011-01-23,49
2011-01-30,49
2011-02-06,51
2011-02-13,47
2011-02-20,49
2011-02-27,48
2011-03-06,50
2011-03-13,47
2011-03-20,50
2011-03-27,46
2011-04-03,47
2011-04-10,44
2011-04-17,47
2011-04-24,45
2011-05-01,45
2011-05-08,47
2011-05-15,46
2011-05-22,47
2011-05-29,49
2011-06-05,47
2011-06-12,49
2011-06-19,48
2011-06-26,50
2011-07-03,49
2011-07-10,47
2011-07-17,49
2011-07-24,49
2011-07-31,48
2011-08-07,48
2011-08-14,51
2011-08-21,52
2011-08-28,47
2011-09-04,47
2011-09-11,46
2011-09-18,44
2011-09-25,45
2011-10-02,45
2011-10-09,47
2011-10-16,46
2011-10-23,47
2011-10-30,45
2011-11-06,49
2011-11-13,56
2011-11-20,100
2011-11-27,65
2011-12-04,61
2011-12-11,68
2011-12-18,79
2011-12-25,71
2012-01-01,58
2012-01-08,53
2012-01-15,52
2012-01-22,53
2012-01-29,54
2012-02-05,53
2012-02-12,53
2012-02-19,54
2012-02-26,51
2012-03-04,53
2012-03-11,52
2012-03-18,50
2012-03-25,51
2012-04-01,47
2012-04-08,46
2012-04-15,46
2012-04-22,46
2012-04-29,46
2012-05-06,47
2012-05-13,49
2012-05-20,49
2012-05-27,48
2012-06-03,48
2012-06-10,51
2012-06-17,51
2012-06-24,50
2012-07-01,53
2012-07-08,50
2012-07-15,52
2012-07-22,51
2012-07-29,50
2012-08-05,49
2012-08-12,51
2012-08-19,51
2012-08-26,50
2012-09-02,49
2012-09-09,48
2012-09-16,49
2012-09-23,49
2012-09-30,47
2012-10-07,46
2012-10-14,47
2012-10-21,48
2012-10-28,47
2012-11-04,50
2012-11-11,58
2012-11-18,100
2012-11-25,71
2012-12-02,61
2012-12-09,65
2012-12-16,76
2012-12-23,79
2012-12-30,59
2013-01-06,54
2013-01-13,50
2013-01-20,52
2013-01-27,48
2013-02-03,49
2013-02-10,52
2013-02-17,52
2013-02-24,50
2013-03-03,50
2013-03-10,48
2013-03-17,49
2013-03-24,51
2013-03-31,48
2013-04-07,48
2013-04-14,47
2013-04-21,46
2013-04-28,47
2013-05-05,46
2013-05-12,48
2013-05-19,49
2013-05-26,51
2013-06-02,49
2013-06-09,52
2013-06-16,51
2013-06-23,51
2013-06-30,53
2013-07-07,51
2013-07-14,51
2013-07-21,52
2013-07-28,55
2013-08-04,54
2013-08-11,51
2013-08-18,51
2013-08-25,49
2013-09-01,50
2013-09-08,49
2013-09-15,50
2013-09-22,49
2013-09-29,48
2013-10-06,48
2013-10-13,50
2013-10-20,48
2013-10-27,48
2013-11-03,52
2013-11-10,58
2013-11-17,64
2013-11-24,100
2013-12-01,70
2013-12-08,66
2013-12-15,76
2013-12-22,85
2013-12-29,63
2014-01-05,54
2014-01-12,54
2014-01-19,53
2014-01-26,51
2014-02-02,50
2014-02-09,53
2014-02-16,52
2014-02-23,52
2014-03-02,51
2014-03-09,51
2014-03-16,49
2014-03-23,50
2014-03-30,48
2014-04-06,49
2014-04-13,49
2014-04-20,47
2014-04-27,48
2014-05-04,48
2014-05-11,48
2014-05-18,49
2014-05-25,49
2014-06-01,49
2014-06-08,52
2014-06-15,51
2014-06-22,50
2014-06-29,53
2014-07-06,52
2014-07-13,52
2014-07-20,53
2014-07-27,53
2014-08-03,53
2014-08-10,50
2014-08-17,52
2014-08-24,52
2014-08-31,51
2014-09-07,51
2014-09-14,50
2014-09-21,49
2014-09-28,48
2014-10-05,48
2014-10-12,48
2014-10-19,47
2014-10-26,48
2014-11-02,50
2014-11-09,55
2014-11-16,60
2014-11-23,100
2014-11-30,69
2014-12-07,63
2014-12-14,69
2014-12-21,80
2014-12-28,64
2015-01-04,54
2015-01-11,53
2015-01-18,52
2015-01-25,51
2015-02-01,51
2015-02-08,53
2015-02-15,50
2015-02-22,50
2015-03-01,50
2015-03-08,49
2015-03-15,49
2015-03-22,48
2015-03-29,49
2015-04-05,49
2015-04-12,49
2015-04-19,48
2015-04-26,48
2015-05-03,50
2015-05-10,51
2015-05-17,51
2015-05-24,53
2015-05-31,51
2015-06-07,54
2015-06-14,55
2015-06-21,54
2015-06-28,57
2015-07-05,53
2015-07-12,55
2015-07-19,58
2015-07-26,55
2015-08-02,57
2015-08-09,59
2015-08-16,56
2015-08-23,55
2015-08-30,56
2015-09-06,53
2015-09-13,49
2015-09-20,51
2015-09-27,51
2015-10-04,50
2015-10-11,52
2015-10-18,49
2015-10-25,51
2015-11-01,52
2015-11-08,58
2015-11-15,60
2015-11-22,100
2015-11-29,71
2015-12-06,63
2015-12-13,72
2015-12-20,87
2015-12-27,70
2016-01-03,56
2016-01-10,54
2016-01-17,48
2016-01-24,47
2016-01-31,49
2016-02-07,51
2016-02-14,50
2016-02-21,49
2016-02-28,48
2016-03-06,48
2016-03-13,47
2016-03-20,49
2016-03-27,48
2016-04-03,48
2016-04-10,47
2016-04-17,46
2016-04-24,46
2016-05-01,47
2016-05-08,47
2016-05-15,47
2016-05-22,48
2016-05-29,50
2016-06-05,49
2016-06-12,52
2016-06-19,50
2016-06-26,51
2016-07-03,52
2016-07-10,50
2016-07-17,50
2016-07-24,50
2016-07-31,51
2016-08-07,48
2016-08-14,50
2016-08-21,49
2016-08-28,48
2016-09-04,50
2016-09-11,49
2016-09-18,47
2016-09-25,46
2016-10-02,46
2016-10-09,46
2016-10-16,47
2016-10-23,47
2016-10-30,46
2016-11-06,50
2016-11-13,58
2016-11-20,100
2016-11-27,68
2016-12-04,59
2016-12-11,65
2016-12-18,82
2016-12-25,65
2017-01-01,53
2017-01-08,50
2017-01-15,49
2017-01-22,47
2017-01-29,47
2017-02-05,47
2017-02-12,48
2017-02-19,49
2017-02-26,49
2017-03-05,49
2017-03-12,47
2017-03-19,45
2017-03-26,49
2017-04-02,47
2017-04-09,48
2017-04-16,47
2017-04-23,48
2017-04-30,47
2017-05-07,47
2017-05-14,46
2017-05-21,48
2017-05-28,50
2017-06-04,49
2017-06-11,52
2017-06-18,52
2017-06-25,52
2017-07-02,53
2017-07-09,50
2017-07-16,51
2017-07-23,49
2017-07-30,52
2017-08-06,51
2017-08-13,57
2017-08-20,55
2017-08-27,48
2017-09-03,47
2017-09-10,45
2017-09-17,47
2017-09-24,46
2017-10-01,45
2017-10-08,46
2017-10-15,45
2017-10-22,47
2017-10-29,47
2017-11-05,55
2017-11-12,57
2017-11-19,100
2017-11-26,71
2017-12-03,60
2017-12-10,65
2017-12-17,78
2017-12-24,71
2017-12-31,59
2018-01-07,54
2018-01-14,51
2018-01-21,49
2018-01-28,49
2018-02-04,48
2018-02-11,50
2018-02-18,51
2018-02-25,51
2018-03-04,50
2018-03-11,49
2018-03-18,47
2018-03-25,50
2018-04-01,49
2018-04-08,46
2018-04-15,47
2018-04-22,46
2018-04-29,47
2018-05-06,48
2018-05-13,48
2018-05-20,49
2018-05-27,51
2018-06-03,49
2018-06-10,52
2018-06-17,50
2018-06-24,52
2018-07-01,54
2018-07-08,52
2018-07-15,53
2018-07-22,53
2018-07-29,53
2018-08-05,54
2018-08-12,53
2018-08-19,52
2018-08-26,50
2018-09-02,52
2018-09-09,48
2018-09-16,47
2018-09-23,47
2018-09-30,47
2018-10-07,49
2018-10-14,49
2018-10-21,49
2018-10-28,49
2018-11-04,53
2018-11-11,58
2018-11-18,100
2018-11-25,69
2018-12-02,58
2018-12-09,63
2018-12-16,70
2018-12-23,74
2018-12-30,59
2019-01-06,50
2019-01-13,50
2019-01-20,50
2019-01-27,50
2019-02-03,48
2019-02-10,50
2019-02-17,52
2019-02-24,50
2019-03-03,52
2019-03-10,51
2019-03-17,50
2019-03-24,50
2019-03-31,51
2019-04-07,49
2019-04-14,51
2019-04-21,50
2019-04-28,51
2019-05-05,50
2019-05-12,50
2019-05-19,51
2019-05-26,54
2019-06-02,53
2019-06-09,53
2019-06-16,54
2019-06-23,54
2019-06-30,58
2019-07-07,51
2019-07-14,56
2019-07-21,53
2019-07-28,54
2019-08-04,53
2019-08-11,54
2019-08-18,54
2019-08-25,53
2019-09-01,52
2019-09-08,49
2019-09-15,49
2019-09-22,48
2019-09-29,47
2019-10-06,47
2019-10-13,48
2019-10-20,48
2019-10-27,48
2019-11-03,53
2019-11-10,56
2019-11-17,60
2019-11-24,100
2019-12-01,71
2019-12-08,60
2019-12-15,67
2019-12-22,78
2019-12-29,63
2020-01-05,46
2020-01-12,46
2020-01-19,44
2020-01-26,42
2020-02-02,44
2020-02-09,45
2020-02-16,45
2020-02-23,45
2020-03-01,45
2020-03-08,49
2020-03-15,58
2020-03-22,55
2020-03-29,55
2020-04-05,55
2020-04-12,60
2020-04-19,62
2020-04-26,60
2020-05-03,61
2020-05-10,59
2020-05-17,60
2020-05-24,60
2020-05-31,56
2020-06-07,59
2020-06-14,59
2020-06-21,57
2020-06-28,60
2020-07-05,57
2020-07-12,55
2020-07-19,55
2020-07-26,56
2020-08-02,57
2020-08-09,56
2020-08-16,54
2020-08-23,53
2020-08-30,54
2020-09-06,50
2020-09-13,52
2020-09-20,50
2020-09-27,47
2020-10-04,47
2020-10-11,53
2020-10-18,51
2020-10-25,52
2020-11-01,43
2020-11-08,74
2020-11-15,68
2020-11-22,100
2020-11-29,72
2020-12-06,64
