date,finance
2004-01-04,91
2004-01-11,93
2004-01-18,85
2004-01-25,97
2004-02-01,96
2004-02-08,88
2004-02-15,97
2004-02-22,94
2004-02-29,91
2004-03-07,85
2004-03-14,95
2004-03-21,72
2004-03-28,99
2004-04-04,93
2004-04-11,97
2004-04-18,93
2004-04-25,91
2004-05-02,95
2004-05-09,85
2004-05-16,80
2004-05-23,88
2004-05-30,77
2004-06-06,83
2004-06-13,82
2004-06-20,97
2004-06-27,90
2004-07-04,84
2004-07-11,88
2004-07-18,90
2004-07-25,100
2004-08-01,97
2004-08-08,93
2004-08-15,92
2004-08-22,85
2004-08-29,93
2004-09-05,80
2004-09-12,92
2004-09-19,95
2004-09-26,93
2004-10-03,95
2004-10-10,85
2004-10-17,89
2004-10-24,93
2004-10-31,87
2004-11-07,87
2004-11-14,84
2004-11-21,87
2004-11-28,94
2004-12-05,83
2004-12-12,85
2004-12-19,78
2004-12-26,79
2005-01-02,82
2005-01-09,98
2005-01-16,86
2005-01-23,89
2005-01-30,91
2005-02-06,98
2005-02-13,96
2005-02-20,91
2005-02-27,95
2005-03-06,82
2005-03-13,96
2005-03-20,94
2005-03-27,85
2005-04-03,88
2005-04-10,97
2005-04-17,88
2005-04-24,91
2005-05-01,88
2005-05-08,82
2005-05-15,96
2005-05-22,85
2005-05-29,85
2005-06-05,86
2005-06-12,100
2005-06-19,99
2005-06-26,99
2005-07-03,100
2005-07-10,94
2005-07-17,98
2005-07-24,86
2005-07-31,98
2005-08-07,92
2005-08-14,86
2005-08-21,90
2005-08-28,89
2005-09-04,86
2005-09-11,88
2005-09-18,90
2005-09-25,98
2005-10-02,98
2005-10-09,92
2005-10-16,98
2005-10-23,93
2005-10-30,95
2005-11-06,82
2005-11-13,85
2005-11-20,75
2005-11-27,83
2005-12-04,89
2005-12-11,81
2005-12-18,77
2005-12-25,80
2006-01-01,76
2006-01-08,87
2006-01-15,87
2006-01-22,90
2006-01-29,90
2006-02-05,86
2006-02-12,79
2006-02-19,90
2006-02-26,83
2006-03-05,77
2006-03-12,86
2006-03-19,100
2006-03-26,92
2006-04-02,94
2006-04-09,89
2006-04-16,95
2006-04-23,85
2006-04-30,91
2006-05-07,85
2006-05-14,87
2006-05-21,94
2006-05-28,81
2006-06-04,93
2006-06-11,86
2006-06-18,90
2006-06-25,91
2006-07-02,85
2006-07-09,83
2006-07-16,94
2006-07-23,86
2006-07-30,80
2006-08-06,88
2006-08-13,90
2006-08-20,92
2006-08-27,87
2006-09-03,77
2006-09-10,97
2006-09-17,90
2006-09-24,89
2006-10-01,93
2006-10-08,93
2006-10-15,85
2006-10-22,92
2006-10-29,94
2006-11-05,84
2006-11-12,94
2006-11-19,76
2006-11-26,89
2006-12-03,85
2006-12-10,82
2006-12-17,81
2006-12-24,77
2006-12-31,95
2007-01-07,86
2007-01-14,85
2007-01-21,87
2007-01-28,87
2007-02-04,89
2007-02-11,82
2007-02-18,86
2007-02-25,95
2007-03-04,90
2007-03-11,85
2007-03-18,85
2007-03-25,85
2007-04-01,87
2007-04-08,91
2007-04-15,88
2007-04-22,94
2007-04-29,88
2007-05-06,84
2007-05-13,87
2007-05-20,81
2007-05-27,77
2007-06-03,85
2007-06-10,87
2007-06-17,87
2007-06-24,86
2007-07-01,82
2007-07-08,95
2007-07-15,95
2007-07-22,96
2007-07-29,94
2007-08-05,100
2007-08-12,99
2007-08-19,97
2007-08-26,88
2007-09-02,84
2007-09-09,94
2007-09-16,91
2007-09-23,91
2007-09-30,93
2007-10-07,94
2007-10-14,100
2007-10-21,96
2007-10-28,99
2007-11-04,99
2007-11-11,98
2007-11-18,81
2007-11-25,94
2007-12-02,86
2007-12-09,88
2007-12-16,81
2007-12-23,76
2007-12-30,84
2008-01-06,55
2008-01-13,60
2008-01-20,61
2008-01-27,61
2008-02-03,58
2008-02-10,58
2008-02-17,52
2008-02-24,57
2008-03-02,57
2008-03-09,59
2008-03-16,63
2008-03-23,60
2008-03-30,60
2008-04-06,59
2008-04-13,59
2008-04-20,58
2008-04-27,55
2008-05-04,54
2008-05-11,56
2008-05-18,54
2008-05-25,50
2008-06-01,54
2008-06-08,54
2008-06-15,57
2008-06-22,58
2008-06-29,54
2008-07-06,59
2008-07-13,63
2008-07-20,60
2008-07-27,59
2008-08-03,57
2008-08-10,55
2008-08-17,52
2008-08-24,53
2008-08-31,52
2008-09-07,62
2008-09-14,85
2008-09-21,79
2008-09-28,90
2008-10-05,100
2008-10-12,93
2008-10-19,81
2008-10-26,85
2008-11-02,76
2008-11-09,76
2008-11-16,80
2008-11-23,64
2008-11-30,72
2008-12-07,69
2008-12-14,65
2008-12-21,51
2008-12-28,57
2009-01-04,90
2009-01-11,91
2009-01-18,86
2009-01-25,87
2009-02-01,90
2009-02-08,88
2009-02-15,93
2009-02-22,95
2009-03-01,96
2009-03-08,100
2009-03-15,96
2009-03-22,96
2009-03-29,92
2009-04-05,83
2009-04-12,93
2009-04-19,86
2009-04-26,79
2009-05-03,87
2009-05-10,85
2009-05-17,82
2009-05-24,74
2009-05-31,80
2009-06-07,81
2009-06-14,80
2009-06-21,74
2009-06-28,72
2009-07-05,80
2009-07-12,81
2009-07-19,81
2009-07-26,79
2009-08-02,84
2009-08-09,80
2009-08-16,75
2009-08-23,76
2009-08-30,77
2009-09-06,70
2009-09-13,81
2009-09-20,80
2009-09-27,80
2009-10-04,79
2009-10-11,80
2009-10-18,80
2009-10-25,78
2009-11-01,78
2009-11-08,77
2009-11-15,74
2009-11-22,60
2009-11-29,73
2009-12-06,71
2009-12-13,66
2009-12-20,59
2009-12-27,61
2010-01-03,87
2010-01-10,85
2010-01-17,84
2010-01-24,85
2010-01-31,87
2010-02-07,83
2010-02-14,86
2010-02-21,82
2010-02-28,86
2010-03-07,85
2010-03-14,86
2010-03-21,83
2010-03-28,83
2010-04-04,87
2010-04-11,92
2010-04-18,86
2010-04-25,90
2010-05-02,100
2010-05-09,86
2010-05-16,85
2010-05-23,83
2010-05-30,77
2010-06-06,83
2010-06-13,85
2010-06-20,77
2010-06-27,85
2010-07-04,68
2010-07-11,77
2010-07-18,78
2010-07-25,78
2010-08-01,77
2010-08-08,75
2010-08-15,72
2010-08-22,75
2010-08-29,69
2010-09-05,67
2010-09-12,76
2010-09-19,77
2010-09-26,75
2010-10-03,77
2010-10-10,83
2010-10-17,82
2010-10-24,76
2010-10-31,77
2010-11-07,83
2010-11-14,80
2010-11-21,61
2010-11-28,74
2010-12-05,74
2010-12-12,75
2010-12-19,58
2010-12-26,64
2011-01-02,70
2011-01-09,68
2011-01-16,63
2011-01-23,74
2011-01-30,73
2011-02-06,73
2011-02-13,72
2011-02-20,69
2011-02-27,72
2011-03-06,73
2011-03-13,73
2011-03-20,70
2011-03-27,70
2011-04-03,68
2011-04-10,66
2011-04-17,69
2011-04-24,70
2011-05-01,67
2011-05-08,70
2011-05-15,65
2011-05-22,65
2011-05-29,62
2011-06-05,64
2011-06-12,66
2011-06-19,63
2011-06-26,67
2011-07-03,62
2011-07-10,64
2011-07-17,66
2011-07-24,67
2011-07-31,80
2011-08-07,100
2011-08-14,76
2011-08-21,73
2011-08-28,68
2011-09-04,64
2011-09-11,67
2011-09-18,73
2011-09-25,71
2011-10-02,76
2011-10-09,65
2011-10-16,67
2011-10-23,75
2011-10-30,72
2011-11-06,67
2011-11-13,65
2011-11-20,55
2011-11-27,66
2011-12-04,63
2011-12-11,61
2011-12-18,56
2011-12-25,52
2012-01-01,81
2012-01-08,85
2012-01-15,83
2012-01-22,88
2012-01-29,97
2012-02-05,93
2012-02-12,93
2012-02-19,90
2012-02-26,96
2012-03-04,91
2012-03-11,94
2012-03-18,90
2012-03-25,87
2012-04-01,85
2012-04-08,89
2012-04-15,89
2012-04-22,89
2012-04-29,91
2012-05-06,87
2012-05-13,100
2012-05-20,99
2012-05-27,83
2012-06-03,86
2012-06-10,91
2012-06-17,84
2012-06-24,83
2012-07-01,77
2012-07-08,86
2012-07-15,85
2012-07-22,90
2012-07-29,82
2012-08-05,83
2012-08-12,83
2012-08-19,87
2012-08-26,80
2012-09-02,74
2012-09-09,89
2012-09-16,89
2012-09-23,84
2012-09-30,87
2012-10-07,87
2012-10-14,89
2012-10-21,88
2012-10-28,76
2012-11-04,87
2012-11-11,87
2012-11-18,70
2012-11-25,85
2012-12-02,87
2012-12-09,86
2012-12-16,83
2012-12-23,69
2012-12-30,83
2013-01-06,87
2013-01-13,87
2013-01-20,87
2013-01-27,93
2013-02-03,91
2013-02-10,91
2013-02-17,87
2013-02-24,92
2013-03-03,95
2013-03-10,92
2013-03-17,90
2013-03-24,85
2013-03-31,88
2013-04-07,90
2013-04-14,92
2013-04-21,93
2013-04-28,92
2013-05-05,90
2013-05-12,89
2013-05-19,88
2013-05-26,82
2013-06-02,91
2013-06-09,88
2013-06-16,88
2013-06-23,89
2013-06-30,80
2013-07-07,89
2013-07-14,90
2013-07-21,89
2013-07-28,91
2013-08-04,86
2013-08-11,88
2013-08-18,86
2013-08-25,86
2013-09-01,81
2013-09-08,89
2013-09-15,93
2013-09-22,91
2013-09-29,94
2013-10-06,95
2013-10-13,98
2013-10-20,98
2013-10-27,95
2013-11-03,100
2013-11-10,95
2013-11-17,91
2013-11-24,72
2013-12-01,88
2013-12-08,86
2013-12-15,87
2013-12-22,72
2013-12-29,77
2014-01-05,89
2014-01-12,93
2014-01-19,87
2014-01-26,95
2014-02-02,95
2014-02-09,92
2014-02-16,88
2014-02-23,93
2014-03-02,93
2014-03-09,91
2014-03-16,86
2014-03-23,85
2014-03-30,91
2014-04-06,91
2014-04-13,85
2014-04-20,91
2014-04-27,88
2014-05-04,87
2014-05-11,86
2014-05-18,82
2014-05-25,76
2014-06-01,83
2014-06-08,85
2014-06-15,84
2014-06-22,80
2014-06-29,74
2014-07-06,83
2014-07-13,85
2014-07-20,88
2014-07-27,88
2014-08-03,88
2014-08-10,81
2014-08-17,84
2014-08-24,86
2014-08-31,79
2014-09-07,87
2014-09-14,94
2014-09-21,89
2014-09-28,91
2014-10-05,91
2014-10-12,100
2014-10-19,94
2014-10-26,92
2014-11-02,89
2014-11-09,87
2014-11-16,86
2014-11-23,69
2014-11-30,85
2014-12-07,86
2014-12-14,88
2014-12-21,67
2014-12-28,71
2015-01-04,70
2015-01-11,72
2015-01-18,68
2015-01-25,75
2015-02-01,74
2015-02-08,72
2015-02-15,70
2015-02-22,71
2015-03-01,72
2015-03-08,73
2015-03-15,70
2015-03-22,70
2015-03-29,69
2015-04-05,69
2015-04-12,73
2015-04-19,72
2015-04-26,73
2015-05-03,71
2015-05-10,69
2015-05-17,66
2015-05-24,60
2015-05-31,66
2015-06-07,67
2015-06-14,65
2015-06-21,66
2015-06-28,69
2015-07-05,76
2015-07-12,72
2015-07-19,76
2015-07-26,73
2015-08-02,71
2015-08-09,71
2015-08-16,73
2015-08-23,100
2015-08-30,78
2015-09-06,66
2015-09-13,73
2015-09-20,72
2015-09-27,71
2015-10-04,71
2015-10-11,70
2015-10-18,70
2015-10-25,69
2015-11-01,71
2015-11-08,69
2015-11-15,67
2015-11-22,53
2015-11-29,66
2015-12-06,66
2015-12-13,68
2015-12-20,51
2015-12-27,51
2016-01-03,100
2016-01-10,92
2016-01-17,91
2016-01-24,99
2016-01-31,95
2016-02-07,98
2016-02-14,86
2016-02-21,95
2016-02-28,92
2016-03-06,85
2016-03-13,88
2016-03-20,80
2016-03-27,87
2016-04-03,89
2016-04-10,88
2016-04-17,91
2016-04-24,92
2016-05-01,85
2016-05-08,85
2016-05-15,82
2016-05-22,83
2016-05-29,76
2016-06-05,85
2016-06-12,79
2016-06-19,93
2016-06-26,91
2016-07-03,76
2016-07-10,86
2016-07-17,85
2016-07-24,83
2016-07-31,81
2016-08-07,76
2016-08-14,78
2016-08-21,77
2016-08-28,77
2016-09-04,73
2016-09-11,81
2016-09-18,77
2016-09-25,78
2016-10-02,78
2016-10-09,78
2016-10-16,76
2016-10-23,78
2016-10-30,80
2016-11-06,90
2016-11-13,88
2016-11-20,64
2016-11-27,80
2016-12-04,83
2016-12-11,81
2016-12-18,72
2016-12-25,61
2017-01-01,61
2017-01-08,63
2017-01-15,60
2017-01-22,65
2017-01-29,69
2017-02-05,64
2017-02-12,66
2017-02-19,65
2017-02-26,69
2017-03-05,64
2017-03-12,60
2017-03-19,62
2017-03-26,64
2017-04-02,63
2017-04-09,62
2017-04-16,63
2017-04-23,68
2017-04-30,73
2017-05-07,64
2017-05-14,65
2017-05-21,59
2017-05-28,58
2017-06-04,60
2017-06-11,62
2017-06-18,60
2017-06-25,60
2017-07-02,58
2017-07-09,60
2017-07-16,64
2017-07-23,64
2017-07-30,67
2017-08-06,62
2017-08-13,63
2017-08-20,59
2017-08-27,62
2017-09-03,53
2017-09-10,65
2017-09-17,65
2017-09-24,64
2017-10-01,64
2017-10-08,64
2017-10-15,65
2017-10-22,68
2017-10-29,71
2017-11-05,69
2017-11-12,68
2017-11-19,53
2017-11-26,96
2017-12-03,100
2017-12-10,94
2017-12-17,89
2017-12-24,70
2017-12-31,82
2018-01-07,99
2018-01-14,95
2018-01-21,100
2018-01-28,94
2018-02-04,100
2018-02-11,80
2018-02-18,73
2018-02-25,81
2018-03-04,78
2018-03-11,74
2018-03-18,82
2018-03-25,78
2018-04-01,82
2018-04-08,77
2018-04-15,76
2018-04-22,76
2018-04-29,77
2018-05-06,75
2018-05-13,72
2018-05-20,68
2018-05-27,65
2018-06-03,72
2018-06-10,72
2018-06-17,72
2018-06-24,71
2018-07-01,64
2018-07-08,69
2018-07-15,69
2018-07-22,75
2018-07-29,75
2018-08-05,73
2018-08-12,72
2018-08-19,73
2018-08-26,72
2018-09-02,67
2018-09-09,70
2018-09-16,74
2018-09-23,71
2018-09-30,73
2018-10-07,76
2018-10-14,73
2018-10-21,75
2018-10-28,76
2018-11-04,69
2018-11-11,70
2018-11-18,56
2018-11-25,69
2018-12-02,71
2018-12-09,71
2018-12-16,72
2018-12-23,64
2018-12-30,66
2019-01-06,65
2019-01-13,63
2019-01-20,61
2019-01-27,67
2019-02-03,66
2019-02-10,65
2019-02-17,64
2019-02-24,67
2019-03-03,63
2019-03-10,63
2019-03-17,63
2019-03-24,63
2019-03-31,65
2019-04-07,62
2019-04-14,60
2019-04-21,63
2019-04-28,65
2019-05-05,67
2019-05-12,68
2019-05-19,62
2019-05-26,59
2019-06-02,65
2019-06-09,66
2019-06-16,65
2019-06-23,65
2019-06-30,57
2019-07-07,64
2019-07-14,65
2019-07-21,65
2019-07-28,79
2019-08-04,94
2019-08-11,100
2019-08-18,98
2019-08-25,78
2019-09-01,63
2019-09-08,66
2019-09-15,66
2019-09-22,64
2019-09-29,72
2019-10-06,73
2019-10-13,74
2019-10-20,73
2019-10-27,74
2019-11-03,76
2019-11-10,73
2019-11-17,74
2019-11-24,60
2019-12-01,74
2019-12-08,73
2019-12-15,72
2019-12-22,61
2019-12-29,68
2020-01-05,55
2020-01-12,56
2020-01-19,53
2020-01-26,58
2020-02-02,61
2020-02-09,61
2020-02-16,57
2020-02-23,80
2020-03-01,79
2020-03-08,98
2020-03-15,100
2020-03-22,91
2020-03-29,75
2020-04-05,68
2020-04-12,72
2020-04-19,71
2020-04-26,72
2020-05-03,66
2020-05-10,65
2020-05-17,65
2020-05-24,59
2020-05-31,67
2020-06-07,74
2020-06-14,66
2020-06-21,61
2020-06-28,56
2020-07-05,59
2020-07-12,59
2020-07-19,58
2020-07-26,59
2020-08-02,60
2020-08-09,58
2020-08-16,54
2020-08-23,56
2020-08-30,59
2020-09-06,52
2020-09-13,54
2020-09-20,54
2020-09-27,53
2020-10-04,54
2020-10-11,54
2020-10-18,53
2020-10-25,54
2020-11-01,46
2020-11-08,56
2020-11-15,56
2020-11-22,48
2020-11-29,57
2020-12-06,59
