date,united health
2004-01-04,81
2004-01-11,100
2004-01-18,80
2004-01-25,83
2004-02-01,65
2004-02-08,77
2004-02-15,77
2004-02-22,86
2004-02-29,86
2004-03-07,76
2004-03-14,76
2004-03-21,73
2004-03-28,57
2004-04-04,79
2004-04-11,60
2004-04-18,66
2004-04-25,75
2004-05-02,77
2004-05-09,81
2004-05-16,75
2004-05-23,69
2004-05-30,70
2004-06-06,78
2004-06-13,68
2004-06-20,68
2004-06-27,66
2004-07-04,55
2004-07-11,79
2004-07-18,72
2004-07-25,77
2004-08-01,78
2004-08-08,65
2004-08-15,86
2004-08-22,75
2004-08-29,73
2004-09-05,69
2004-09-12,92
2004-09-19,76
2004-09-26,98
2004-10-03,80
2004-10-10,88
2004-10-17,71
2004-10-24,78
2004-10-31,88
2004-11-07,80
2004-11-14,80
2004-11-21,66
2004-11-28,76
2004-12-05,68
2004-12-12,63
2004-12-19,67
2004-12-26,62
2005-01-02,79
2005-01-09,77
2005-01-16,83
2005-01-23,78
2005-01-30,63
2005-02-06,62
2005-02-13,62
2005-02-20,62
2005-02-27,65
2005-03-06,75
2005-03-13,62
2005-03-20,73
2005-03-27,66
2005-04-03,59
2005-04-10,81
2005-04-17,76
2005-04-24,69
2005-05-01,59
2005-05-08,76
2005-05-15,65
2005-05-22,73
2005-05-29,64
2005-06-05,80
2005-06-12,72
2005-06-19,58
2005-06-26,72
2005-07-03,77
2005-07-10,83
2005-07-17,62
2005-07-24,76
2005-07-31,72
2005-08-07,61
2005-08-14,65
2005-08-21,57
2005-08-28,71
2005-09-04,70
2005-09-11,62
2005-09-18,71
2005-09-25,68
2005-10-02,70
2005-10-09,79
2005-10-16,81
2005-10-23,81
2005-10-30,100
2005-11-06,74
2005-11-13,84
2005-11-20,52
2005-11-27,79
2005-12-04,80
2005-12-11,64
2005-12-18,55
2005-12-25,51
2006-01-01,82
2006-01-08,79
2006-01-15,85
2006-01-22,76
2006-01-29,86
2006-02-05,73
2006-02-12,65
2006-02-19,72
2006-02-26,80
2006-03-05,69
2006-03-12,54
2006-03-19,65
2006-03-26,62
2006-04-02,68
2006-04-09,69
2006-04-16,100
2006-04-23,65
2006-04-30,66
2006-05-07,65
2006-05-14,66
2006-05-21,52
2006-05-28,58
2006-06-04,72
2006-06-11,67
2006-06-18,66
2006-06-25,76
2006-07-02,47
2006-07-09,63
2006-07-16,63
2006-07-23,82
2006-07-30,74
2006-08-06,75
2006-08-13,77
2006-08-20,70
2006-08-27,67
2006-09-03,75
2006-09-10,86
2006-09-17,68
2006-09-24,75
2006-10-01,81
2006-10-08,83
2006-10-15,95
2006-10-22,80
2006-10-29,89
2006-11-05,85
2006-11-12,71
2006-11-19,63
2006-11-26,69
2006-12-03,81
2006-12-10,66
2006-12-17,57
2006-12-24,65
2006-12-31,91
2007-01-07,87
2007-01-14,99
2007-01-21,74
2007-01-28,91
2007-02-04,82
2007-02-11,78
2007-02-18,77
2007-02-25,64
2007-03-04,87
2007-03-11,71
2007-03-18,76
2007-03-25,81
2007-04-01,86
2007-04-08,81
2007-04-15,76
2007-04-22,68
2007-04-29,70
2007-05-06,72
2007-05-13,82
2007-05-20,86
2007-05-27,67
2007-06-03,75
2007-06-10,77
2007-06-17,74
2007-06-24,70
2007-07-01,80
2007-07-08,71
2007-07-15,91
2007-07-22,85
2007-07-29,96
2007-08-05,98
2007-08-12,69
2007-08-19,74
2007-08-26,76
2007-09-02,77
2007-09-09,77
2007-09-16,81
2007-09-23,100
2007-09-30,90
2007-10-07,75
2007-10-14,95
2007-10-21,84
2007-10-28,79
2007-11-04,85
2007-11-11,92
2007-11-18,49
2007-11-25,79
2007-12-02,64
2007-12-09,69
2007-12-16,69
2007-12-23,59
2007-12-30,67
2008-01-06,100
2008-01-13,82
2008-01-20,85
2008-01-27,96
2008-02-03,94
2008-02-10,80
2008-02-17,70
2008-02-24,78
2008-03-02,93
2008-03-09,88
2008-03-16,84
2008-03-23,88
2008-03-30,80
2008-04-06,84
2008-04-13,76
2008-04-20,67
2008-04-27,69
2008-05-04,78
2008-05-11,71
2008-05-18,88
2008-05-25,63
2008-06-01,85
2008-06-08,71
2008-06-15,74
2008-06-22,75
2008-06-29,76
2008-07-06,67
2008-07-13,70
2008-07-20,72
2008-07-27,61
2008-08-03,78
2008-08-10,71
2008-08-17,67
2008-08-24,77
2008-08-31,56
2008-09-07,65
2008-09-14,71
2008-09-21,76
2008-09-28,67
2008-10-05,70
2008-10-12,71
2008-10-19,81
2008-10-26,88
2008-11-02,73
2008-11-09,83
2008-11-16,81
2008-11-23,55
2008-11-30,68
2008-12-07,71
2008-12-14,65
2008-12-21,37
2008-12-28,58
2009-01-04,83
2009-01-11,96
2009-01-18,93
2009-01-25,89
2009-02-01,98
2009-02-08,81
2009-02-15,85
2009-02-22,88
2009-03-01,87
2009-03-08,85
2009-03-15,81
2009-03-22,91
2009-03-29,84
2009-04-05,79
2009-04-12,83
2009-04-19,69
2009-04-26,84
2009-05-03,69
2009-05-10,83
2009-05-17,75
2009-05-24,70
2009-05-31,84
2009-06-07,79
2009-06-14,82
2009-06-21,84
2009-06-28,76
2009-07-05,73
2009-07-12,81
2009-07-19,98
2009-07-26,92
2009-08-02,88
2009-08-09,86
2009-08-16,91
2009-08-23,84
2009-08-30,81
2009-09-06,87
2009-09-13,85
2009-09-20,85
2009-09-27,85
2009-10-04,89
2009-10-11,93
2009-10-18,84
2009-10-25,100
2009-11-01,93
2009-11-08,92
2009-11-15,95
2009-11-22,60
2009-11-29,81
2009-12-06,81
2009-12-13,71
2009-12-20,54
2009-12-27,73
2010-01-03,60
2010-01-10,75
2010-01-17,68
2010-01-24,59
2010-01-31,59
2010-02-07,52
2010-02-14,66
2010-02-21,72
2010-02-28,78
2010-03-07,53
2010-03-14,60
2010-03-21,100
2010-03-28,69
2010-04-04,65
2010-04-11,65
2010-04-18,61
2010-04-25,67
2010-05-02,59
2010-05-09,69
2010-05-16,61
2010-05-23,57
2010-05-30,56
2010-06-06,59
2010-06-13,61
2010-06-20,59
2010-06-27,62
2010-07-04,57
2010-07-11,58
2010-07-18,52
2010-07-25,58
2010-08-01,54
2010-08-08,57
2010-08-15,54
2010-08-22,57
2010-08-29,49
2010-09-05,37
2010-09-12,50
2010-09-19,53
2010-09-26,53
2010-10-03,60
2010-10-10,61
2010-10-17,46
2010-10-24,55
2010-10-31,57
2010-11-07,61
2010-11-14,54
2010-11-21,46
2010-11-28,59
2010-12-05,47
2010-12-12,37
2010-12-19,35
2010-12-26,48
2011-01-02,96
2011-01-09,93
2011-01-16,100
2011-01-23,97
2011-01-30,97
2011-02-06,86
2011-02-13,78
2011-02-20,91
2011-02-27,81
2011-03-06,84
2011-03-13,83
2011-03-20,90
2011-03-27,78
2011-04-03,88
2011-04-10,89
2011-04-17,82
2011-04-24,85
2011-05-01,85
2011-05-08,84
2011-05-15,97
2011-05-22,84
2011-05-29,75
2011-06-05,83
2011-06-12,92
2011-06-19,80
2011-06-26,75
2011-07-03,72
2011-07-10,72
2011-07-17,80
2011-07-24,86
2011-07-31,74
2011-08-07,73
2011-08-14,77
2011-08-21,84
2011-08-28,74
2011-09-04,64
2011-09-11,84
2011-09-18,91
2011-09-25,82
2011-10-02,88
2011-10-09,91
2011-10-16,91
2011-10-23,96
2011-10-30,86
2011-11-06,94
2011-11-13,91
2011-11-20,58
2011-11-27,88
2011-12-04,86
2011-12-11,75
2011-12-18,61
2011-12-25,59
2012-01-01,95
2012-01-08,100
2012-01-15,67
2012-01-22,86
2012-01-29,78
2012-02-05,81
2012-02-12,80
2012-02-19,78
2012-02-26,74
2012-03-04,74
2012-03-11,70
2012-03-18,72
2012-03-25,85
2012-04-01,72
2012-04-08,79
2012-04-15,73
2012-04-22,79
2012-04-29,79
2012-05-06,78
2012-05-13,75
2012-05-20,70
2012-05-27,70
2012-06-03,81
2012-06-10,72
2012-06-17,77
2012-06-24,92
2012-07-01,70
2012-07-08,75
2012-07-15,76
2012-07-22,78
2012-07-29,74
2012-08-05,74
2012-08-12,77
2012-08-19,72
2012-08-26,73
2012-09-02,77
2012-09-09,77
2012-09-16,77
2012-09-23,83
2012-09-30,83
2012-10-07,85
2012-10-14,86
2012-10-21,78
2012-10-28,80
2012-11-04,75
2012-11-11,91
2012-11-18,65
2012-11-25,83
2012-12-02,91
2012-12-09,72
2012-12-16,62
2012-12-23,48
2012-12-30,64
2013-01-06,84
2013-01-13,80
2013-01-20,80
2013-01-27,78
2013-02-03,74
2013-02-10,79
2013-02-17,83
2013-02-24,76
2013-03-03,77
2013-03-10,79
2013-03-17,86
2013-03-24,72
2013-03-31,90
2013-04-07,88
2013-04-14,79
2013-04-21,83
2013-04-28,81
2013-05-05,85
2013-05-12,74
2013-05-19,82
2013-05-26,74
2013-06-02,77
2013-06-09,81
2013-06-16,67
2013-06-23,77
2013-06-30,69
2013-07-07,80
2013-07-14,86
2013-07-21,71
2013-07-28,78
2013-08-04,69
2013-08-11,75
2013-08-18,73
2013-08-25,75
2013-09-01,70
2013-09-08,79
2013-09-15,78
2013-09-22,89
2013-09-29,97
2013-10-06,93
2013-10-13,100
2013-10-20,95
2013-10-27,100
2013-11-03,96
2013-11-10,93
2013-11-17,93
2013-11-24,67
2013-12-01,89
2013-12-08,80
2013-12-15,70
2013-12-22,55
2013-12-29,70
2014-01-05,85
2014-01-12,86
2014-01-19,73
2014-01-26,82
2014-02-02,77
2014-02-09,77
2014-02-16,76
2014-02-23,78
2014-03-02,77
2014-03-09,87
2014-03-16,70
2014-03-23,83
2014-03-30,91
2014-04-06,74
2014-04-13,75
2014-04-20,79
2014-04-27,71
2014-05-04,81
2014-05-11,84
2014-05-18,68
2014-05-25,74
2014-06-01,81
2014-06-08,62
2014-06-15,82
2014-06-22,69
2014-06-29,80
2014-07-06,88
2014-07-13,85
2014-07-20,82
2014-07-27,85
2014-08-03,85
2014-08-10,84
2014-08-17,80
2014-08-24,76
2014-08-31,73
2014-09-07,75
2014-09-14,89
2014-09-21,81
2014-09-28,87
2014-10-05,87
2014-10-12,94
2014-10-19,91
2014-10-26,95
2014-11-02,84
2014-11-09,92
2014-11-16,100
2014-11-23,74
2014-11-30,95
2014-12-07,97
2014-12-14,75
2014-12-21,55
2014-12-28,63
2015-01-04,73
2015-01-11,67
2015-01-18,60
2015-01-25,67
2015-02-01,75
2015-02-08,69
2015-02-15,67
2015-02-22,57
2015-03-01,66
2015-03-08,58
2015-03-15,73
2015-03-22,65
2015-03-29,72
2015-04-05,67
2015-04-12,69
2015-04-19,63
2015-04-26,68
2015-05-03,64
2015-05-10,64
2015-05-17,62
2015-05-24,60
2015-05-31,67
2015-06-07,58
2015-06-14,66
2015-06-21,66
2015-06-28,66
2015-07-05,72
2015-07-12,72
2015-07-19,68
2015-07-26,65
2015-08-02,71
2015-08-09,65
2015-08-16,69
2015-08-23,64
2015-08-30,73
2015-09-06,61
2015-09-13,68
2015-09-20,72
2015-09-27,73
2015-10-04,84
2015-10-11,75
2015-10-18,80
2015-10-25,80
2015-11-01,91
2015-11-08,90
2015-11-15,100
2015-11-22,62
2015-11-29,90
2015-12-06,86
2015-12-13,81
2015-12-20,47
2015-12-27,61
2016-01-03,99
2016-01-10,86
2016-01-17,80
2016-01-24,93
2016-01-31,85
2016-02-07,76
2016-02-14,80
2016-02-21,79
2016-02-28,81
2016-03-06,69
2016-03-13,65
2016-03-20,77
2016-03-27,84
2016-04-03,83
2016-04-10,78
2016-04-17,90
2016-04-24,80
2016-05-01,71
2016-05-08,67
2016-05-15,83
2016-05-22,66
2016-05-29,66
2016-06-05,66
2016-06-12,62
2016-06-19,74
2016-06-26,74
2016-07-03,63
2016-07-10,72
2016-07-17,71
2016-07-24,67
2016-07-31,75
2016-08-07,69
2016-08-14,72
2016-08-21,65
2016-08-28,73
2016-09-04,72
2016-09-11,71
2016-09-18,74
2016-09-25,69
2016-10-02,79
2016-10-09,77
2016-10-16,82
2016-10-23,88
2016-10-30,100
2016-11-06,84
2016-11-13,92
2016-11-20,58
2016-11-27,85
2016-12-04,84
2016-12-11,73
2016-12-18,61
2016-12-25,55
2017-01-01,75
2017-01-08,87
2017-01-15,88
2017-01-22,88
2017-01-29,94
2017-02-05,77
2017-02-12,76
2017-02-19,71
2017-02-26,76
2017-03-05,69
2017-03-12,76
2017-03-19,82
2017-03-26,80
2017-04-02,70
2017-04-09,80
2017-04-16,81
2017-04-23,81
2017-04-30,90
2017-05-07,80
2017-05-14,80
2017-05-21,73
2017-05-28,58
2017-06-04,68
2017-06-11,57
2017-06-18,82
2017-06-25,74
2017-07-02,70
2017-07-09,66
2017-07-16,73
2017-07-23,75
2017-07-30,78
2017-08-06,68
2017-08-13,67
2017-08-20,63
2017-08-27,70
2017-09-03,61
2017-09-10,75
2017-09-17,71
2017-09-24,82
2017-10-01,76
2017-10-08,79
2017-10-15,88
2017-10-22,88
2017-10-29,90
2017-11-05,90
2017-11-12,86
2017-11-19,66
2017-11-26,83
2017-12-03,100
2017-12-10,87
2017-12-17,55
2017-12-24,52
2017-12-31,76
2018-01-07,86
2018-01-14,83
2018-01-21,93
2018-01-28,96
2018-02-04,83
2018-02-11,87
2018-02-18,90
2018-02-25,88
2018-03-04,90
2018-03-11,85
2018-03-18,83
2018-03-25,85
2018-04-01,82
2018-04-08,78
2018-04-15,87
2018-04-22,86
2018-04-29,78
2018-05-06,80
2018-05-13,75
2018-05-20,75
2018-05-27,61
2018-06-03,75
2018-06-10,77
2018-06-17,82
2018-06-24,74
2018-07-01,67
2018-07-08,81
2018-07-15,76
2018-07-22,82
2018-07-29,77
2018-08-05,82
2018-08-12,77
2018-08-19,81
2018-08-26,76
2018-09-02,81
2018-09-09,79
2018-09-16,82
2018-09-23,84
2018-09-30,89
2018-10-07,85
2018-10-14,97
2018-10-21,88
2018-10-28,93
2018-11-04,99
2018-11-11,92
2018-11-18,69
2018-11-25,100
2018-12-02,98
2018-12-09,93
2018-12-16,71
2018-12-23,58
2018-12-30,81
2019-01-06,79
2019-01-13,93
2019-01-20,83
2019-01-27,84
2019-02-03,84
2019-02-10,76
2019-02-17,78
2019-02-24,79
2019-03-03,80
2019-03-10,74
2019-03-17,72
2019-03-24,75
2019-03-31,78
2019-04-07,77
2019-04-14,82
2019-04-21,81
2019-04-28,78
2019-05-05,76
2019-05-12,81
2019-05-19,64
2019-05-26,63
2019-06-02,80
2019-06-09,70
2019-06-16,69
2019-06-23,80
2019-06-30,62
2019-07-07,81
2019-07-14,74
2019-07-21,71
2019-07-28,71
2019-08-04,80
2019-08-11,72
2019-08-18,83
2019-08-25,72
2019-09-01,73
2019-09-08,79
2019-09-15,83
2019-09-22,89
2019-09-29,88
2019-10-06,80
2019-10-13,89
2019-10-20,100
2019-10-27,87
2019-11-03,87
2019-11-10,98
2019-11-17,91
2019-11-24,61
2019-12-01,89
2019-12-08,80
2019-12-15,70
2019-12-22,47
2019-12-29,70
2020-01-05,77
2020-01-12,81
2020-01-19,73
2020-01-26,78
2020-02-02,78
2020-02-09,83
2020-02-16,76
2020-02-23,82
2020-03-01,84
2020-03-08,85
2020-03-15,78
2020-03-22,75
2020-03-29,70
2020-04-05,68
2020-04-12,68
2020-04-19,63
2020-04-26,60
2020-05-03,62
2020-05-10,66
2020-05-17,62
2020-05-24,55
2020-05-31,61
2020-06-07,62
2020-06-14,63
2020-06-21,62
2020-06-28,62
2020-07-05,66
2020-07-12,79
2020-07-19,70
2020-07-26,62
2020-08-02,67
2020-08-09,64
2020-08-16,67
2020-08-23,73
2020-08-30,75
2020-09-06,69
2020-09-13,75
2020-09-20,82
2020-09-27,84
2020-10-04,84
2020-10-11,85
2020-10-18,79
2020-10-25,83
2020-11-01,69
2020-11-08,86
2020-11-15,90
2020-11-22,61
2020-11-29,87
2020-12-06,100
